texts,tags
ไม่ติดจริงๆเหรอวะ... ใจเสียไปแล้ว แต่ถามว่ายังรอประกาศไหมนี่ก็ยังรออ่ะ ,neg
ได้เป็นลูกช้างแล้วโว้ยยยย ติดแล้ว ดีใจมาก 💕💕💕💕💕😍😍,pos
ใครจ่ายเงินแล้วกลับมาลังเลแบบเราอ่ะ ฮือออ เครียด กลัวหลุด จะเป็นบ้าแล้วทุกวันนี้ ฮือออออ 😭😭😭,neg
โมโหนายกอ่ะ อีเหี้ยยยยย โมโหหหห ไม่เลือกงาน..ไม่ยากจน พ่องมึงดิ เศรษฐกิจชิบหายวายวอดแบบนี้ จะให้ทำงานอะไรก็ได้งั้นหรอ โมโหๆๆๆ อย่าดีแต่พูดลมปากเหอะ ถ้าระบบTCASดีนัก รุ่นเราไม่เป็นแบบนี้หรอก มองโลกความเป็นจริงด้วย ฝากบอกทปอ.ด้วยไม่ใช่หากินกับเด็กเก่งจ้า รอบล่ะคนละ100 เหอะๆ,neg
โทษตัวเองล้วนๆ คือความสะเพร่าของตัวเองโดนแท้จริง ดูวันและเวลาผิด มั่วแต่ดีใจเกินเหตุแล้วเป็นไงละอีหอย โดนสละสิทธิ์ไง คือเจ็บจนพูดไม่ออก สู้ใหม่รอบ5เลยจร้า,neg
โคตรสงสารตัวเองกับคนในรุ่น ที่เกิดมาเป็น เด็ก 61 ยังไม่ได้เรียนเลยเครียดชิปหาย พ่อแม่ก็หวังด้วย สงสารพ่อแม่,neg
โคตรท้อ รอโคตรนาน พอไม่ติดก็รออีก มีแต่รอ รอจนท้อชิบหายไปหมดละ แล้วเรื่องที่ไม่อยากคุยที่สุดยิ่งกว่าเรื่องน้ำหนักก็เรื่องที่เรียนเนี่ยแหละโว้ยยย ไม่ต้องพูดถึงได้มั้ยทั้งเพื่อนพ่อแม่พี่น้อง ไม่อยากคุย!! ท้อ ร้องไห้,neg
เห็นน้องไปโรงเรียนกันแล้วจิตใจหดหู่มากอีเวร ไม่สามารถหันไปคุยกับใครได้เลย,neg
เหนื่อยว่ะเลือกเรียนเอกชนก็ต้องมานั่งอธิบายชาวบ้านที่คอยห่วงใยอีกว่าทำไมถึงเรียน อิเวงตังก็ตังแม่กูปะวะ เป็นห่วงกูจริงจรีงงงงงงงงง เออกูโง่ กูคะแนนไม่ถึง กูขี้เกียจรอแล้ว กูเบื่อระบบทีแคส กูเบื่อมึงด้วย ยูโนววว ,neg
เหนื่อยจะรอแล้วนะจิงๆ เหมือนเอาเวลามานั่งมองเล่นๆเลย กูโง่ไม่พอ กูต้องมาเดาอีกหรอว่าจะเลื่อนวันไปเมื่อไหร่อีก,neg
เสียเวลาชีวิตมากเลยค่ะ หน่วยงานจะทราบบ้างมั้ยคะว่าระบบมันห่วยมาก,neg
เสียเวลากูมาสองวันเต็มๆแต่เพื่ออนาคตกูอ่ะ กูต้องยอมมมมม😭😭😭😭 ,neg
เสียเงินก็เยอะระบบสมัครก็แย่ นี่เหรอการศึกษาของชาติ,neg
เวรกรรมอะไรของเรา 😌😥😭😏😩😒,neg
เลื่อนประกาศผลไปขนาดนี้รอบ4ประกาศ(19กค.) ซึ่งคาดว่าถึงตอนนั้นน่าจะล่มอีก ละเปิดเทอมสิงหา จะให้เด็กเอาเวลาไหนเตรียมตัวเข้าม. ไหนจะเรื่องหาหอ จองหอ ขึ้นทะเบียนนักศึกษา ระบบห่วยแต่ความซวยอยู่ที่นักเรียน เลื่อนกำหนดการทุกอย่างแล้วเลื่อนเปิดเทอมด้วยเลยดิ... ,neg
เรียนเอกชนหรอทำไมโง่จัง? โง่เหี้ยอะไรบ้านกูมีตังไอสัด How to ตอบกลับเด็กกร่างที่คิดว่าแน่,neg
เราติดม.เกษตรค่ะ ดีใจกับเราไหมคะ ติดมาสองชั่วโมงกว่าแล้ว ติดยาวยันแยกรัชโยเลยค่ะ โอเค /กางเตนท์นอน,pos
เป็นเด็กรุ่นนี้จนกูเครียดเปิดฟังเพลงดนตรีไทยจนร้องไห้อ่ะคือแบบอินเข้าไปในเพลงได้แล้วเข้าใจทุกอย่างแล้ว เหมือนจะไบโพลาร์แล้วอ่ะอิเวนน ,neg
เชื่อแอพไหนได้บ้างคะ admission premiumก็อวยคะแนนกูซะจนเหมือนจะติด dek-d ก็กดคะแนนกูเหมือนยิ่งจมดินไปอี๊กกก😂 ,neg
เชี่ยยยย ติดแล้ว ติดลาดกระบังแล้วเว้ยย,pos
เคลียดนานมาก เข้ารหัสไม่ได้สักที 😭😭,neg
เคลียดจังเลย กลัวไม่ติดจังเลย😭😭😭😭😭😭😭,neg
เครียดมากคือแม่เอาใบสมัครไปจ่ายผิดใบ 😩😭 ,neg
เครียดจนร้อง😭😭😭ไม่เคยเครียดเเบบนี้มาก่อน,neg
เข้ามาแล้วก็เครียด ทั้งเครียดทั้งกดดันทั้งกังวล ต้องรอต่อไปเรื่อยๆ,neg
เกินกว่าดีใจที่ติด ก็ดีใจที่พ่อเราโคตรดีใจ รักพ่อนะ,pos
อยู่ๆก็เครียดจนจะอ้วก การรอที่ยาวนานมันบั่นทอนสุขภาพจิตลามไปถึงสุขภาพกายจริงๆนะ อยากให้มันผ่านไปไวๆ เวลาคนมาถามเรียนที่ไหนนี่ยิ่งเป็นตัวกระตุ้นเลย ได้ยินแล้วอยากเอากำหนดการฟาดหน้า แม่ง ไม่รู้อะไรก็อยู่เงียบๆไปดิ้ //หัวล้อนนน😭 ,neg
อยากขอโทษพ่อแม่มากๆ ขอโทษที่ทำให้เสียใจ ขอโทษที่ทำให้ดีใจเก้อ ขอโทษที่ทำให้เสียเวลา เสียเงินเสียค่าน้ำมันไปส่งสัมภาษณ์ อยากบอกผู้ใหญ่ทั้งหลายด้วย ว่าทีหลังอย่าเอาความรู้สึก เอาอนาคตของเด็กมาล้อเล่นแบบนี้,neg
หาแดก กับผู้ใหญ่ไม่ได้มาหากับอนาคตของชาติและหรอ,neg
หลายคนต้องมาเสียเวลากับความไม่พร้อมของคนกลุ่มเดียว,neg
หมาไม่แดกมากเถอะ เลือกคณะก่อนรู้คะแนน สอบได้ครั้งเดียวไม่มีโอกาสแก้ตัว ระยะเวลาแต่ละรอบก็นานเกิ้นน จนตอนนี้เด็กเขาจะเปิดเทอมหมดล่ะ จนตอนนี้ยังไม่มีที่เรียน บางครั้งก็ยังลังเลกับตัวเอง งง สับสนไปหมดล่ะ ว่าตัวเองชอบอะไรกันแน่ เพราะมันต้องสมัครใหม่แต่ละรอบ แล้วแต่ละวันไม่กล้าออกบ้านล่ะ ต้องมาเจอกับคำถามที่ว่า มีที่เรียนยัง สอบติดยัง จะติดตอนไหน บลาๆ เหนื่อยที่ต้องมาตอบซ้ำๆเรื่องเดิมๆ จนสภาพจิตใจแย่ไปหมด ก็เริ่มสับสนระหว่างจะเรียนต่อกับทำงานเลยดีไหม ? มีแต่เรื่องแย่ๆ เฮ้อออ ต้องใช้อีกกี่น้ำตาให้เธอเห็นใจ 😭,neg
สุดท้ายก็ไม่ได้เลือกที่ที่ฝัน,neg
สมัครครั้งไหนบ้างที่เว็บจะไม่มีปัญหา 😡😡,neg
สถานการ์ณแบบนี้ ใช้คำว่าระบบการศึกษาต่อได้อีกหรอ ล้มเลิกไปเถอะ เหนื่อยมาก ฮือ,neg
สงสารคนข้างบ้านมากอะ ติดตามมาตั้งแต่รอบแรก ถามตลอดเลยติดที่ไหนแล้วบ้าง ได้ที่เรียนรึยัง จนตอนนี้ก็แปดเดือนได้ก็ยังคงติดตามมาตลอด รออีกนิดนะคะ TT,neg
วุ่นวายเหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้วุ่นวายกว่าเดิม งงค่ะ!,neg
วันนี้เป็นนักศึกษาธรรมศาสตร์แล้วนะ❤️💛 ที่เหนื่อยและทุ่มเทมา วันนี้ติดแล้วนะ😭 ,pos
รู้สึกท้อแท้กับชีวิตมากอะ 😭,neg
รู้มั้ย กูอยากเห็นอะไร อยากเห็นผู้ใหญ่ในทปอ.ก้มหัวแสดงความรับผิดชอบต่อหน้าสื่อ มึงงามหน้าขนาดนี้พูดลอยๆมาแค่ขอโทษเบาๆแล้วเปลี่ยนเรื่อง ที่ญป แค่ไอติมเขาจะปรับขึ้นราคามาเยนนึงผู้บริหารทั้งบอร์ดยังมาก้มหัวหน้าตึกขอโทษผู้บริโภค นี่กับเด็กม.6 เป็นแสน ไม่คิดจะรับผิดชอบหน่อยหรอ ,neg
รอที่เรียนจนเป็นบ้า เห็นอะไรก็ขำไปหมด,neg
มึงเมื่อไหร่เราจะได้นายกคนใหม่ ทนเห็นเหี้ยไรแบบนี้โคตรทำรายจิตใจกับความโง่ของแม่งเลยเบื่อมาก,neg
มีใครโดนบังคับให้เรียนอันที่เราไม่ชอบบ้าง เราเครียดมาก ยิ่งถ้ารอบนี้เราไม่ติดคณะที่เราเลือกเราต้องได้ไปเรียนอันที่ครอบครัวอยากให้เรียนอ่ะ😭,neg
มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติดไกลบ้านมากเลยกลัวแม่ไม่ให้ไป 😭,neg
มข. รอบ3/2รับเราด้วยเถอะนะ เราอยากเรียนจริงๆ ถ้ารับเราคุณจะไม่ผิดหวัง เราจะไม่สละสิทธิ์แน่นอน❤❤,pos
พิมพ์ใบสมัครไม่ได้😭😭,neg
ผู้ใหญ่รังแกฉัน มันเย้ากับชีวิตตอนนี้มาก 😂😂😂😂,neg
ประสาทแดกหมดแล้ว ถามกันอยู่ได้เรียนไหน #อหหหห ยังไม่มีที่เรียนเว้ยยย #ขี้เสือก,neg
ประกาศเร็วกว่านี้หน่อยไม่ได้หรอ เด็กฟุ้งซ่านไปหมดแล้วโว้ย,neg
บอกเลยว่า เหี้ยมาก =..= รู้สึกไร้อนาคตมากตอนคะแนนออก รู้สึกท้อมากด้วย สอบก็มีรอบเดียว คะแนนก็กลัวจะยื่นที่ไหนไม่ได่เพราะไม่รู้เกณฑ์คะแนนใหม่ คือเครียดมาหลายเดือนมาก ลดรอบการวิ่งสอบก็จริงแต่กูเครียดหนักกว่าเดิมมมมม,neg
น้องข้างบ้านบอกต้องรีบไปรีดผ้าพรุ่งนี้ไปโรงเรียน เอิ่ม -_- ตัดภาพมาที่กู นี่กูต้องใช้ชีวิตแบบเหมือนวิณญาณเรร่อนขนาดนี้เลย สงสารตัวเอง 😂😂😂 ,neg
น่าเบื่อนะ นอนยุบ้านเฉยๆเนี่ย นอนรอที่เรียน นอนรอมหาลัยเปิด นอนรอไรก็ไม่รู้ ไม่รู้ว่าจะติดไม่ติดด้วยซ้ำ ได้แต่รออ่ะ งานก็ไม่มีทำ เงินก็ไม่มีเที่ยว ไปไหนก็ไม่ได้ 😭😭😭😭,neg
นี่คือรำคาญครูเเนะเเนวที่รร.มากเร่งเร้าจะเอารายชื่อมหาลัยอยู่ได้ คือมันสำคัญมากเลยหรอ บ้าบอออ มาเป็นกูดูมั้ย กดดันสัส,neg
นั่งร้องไห้เพราะสมัครไม่ได้ ....ขอเหลือน้ำตาไว้ตอนติดรึไม่ติดบ้างได้ไหม ทปอ 😭,neg
นอกจากสงสารตัวเองแล้ว ยังสงสารแม่อีกอ่ะ เราอยากให้แม่ภูมิใจในตัวเรา เราเลยเลือกสิ่งที่คิดว่ามันจะดีกับเราในระยะยาว ทำให้เราหวังมากขึ้นไปอีก แม่ก็เครียด แม่นอนไม่หลับมาตั้งแต่คืนที่เราลุกไปสมัครสอบตอนตี4แล้ว แต่แม่ก็ต้องไปทำงานทุกวัน เราอยากติดแล้วจริงๆนะ เป็นห่วงแม่ 😭,neg
ท้อจนบางทีก็นั่งๆอยู่ก็คิดว่า ไม่อยากเรียนแล้วอ่ะ,neg
ที่ติดนี่คือ โล่งใจมากกว่าดีใจ เพราะเหนื่อยใจมามากแล้ว,pos
ทั้งๆที่ไม่ค่อยโอเคกับรอบ3 แต่ก็เสือกสมัครเพราะอยากมีที่เนียนแล้ว... เออ กูเอง😭 เพราะความอยากมีที่เรียนของกูอ่ะ กูเลยไม่อยากไปสมัครรอบ4 แต่ก็เสือกบ่นให้รอบ3 กู กูเอ๊งงงง!!!!!,neg
ติดแล้วเด้ออออ ติดแล้วจ้าาา สถานีต่อไป กูต้องแก้บน!!!!,pos
ติดแล้ววววววววววขอบคุณมากนะคะ ,pos
ติดแล้ววววววว ดีใจที่ตัวเองยังหน้าด้านยื่นต่อจนติด,pos
ติดมศว แล้วนะ ฮื่ออออ ดีใจจจจจ,pos
ตอนแรกก็ไม่ค่อยเครียดหรอก ตอนนี้เริ่มเครียดแล้วจ้า😭😭,neg
ตอนนี้รอประกาศผลจนฟุ่งซานล่ะ นานเกิ้นแถมไม่รู้ว่าจะทำไรด้วย แมร่งภาวนาให้แต่ถึงวันที่ 29 เร็วๆ แมร่งโครตอึดอัดเลย,neg
ตอนนี้คือเครียดเรื่องสัมภาษณ์ คือถ้าผ่าน ก็ดีไป แต่ถ้าไม่ผ่านนี่ดิ จะทำไงวะ ไหนจะวางแผนเรื่องอันดับ แล้วถ้าเข้าไปสมัครละเว็บล่ม เห้ออ เครียด ทำไมเด็ก61มันเครียดขนาดนี้ ระบบเหี้ยนี่แหละทำให้กูลุกไปไหนไม่ได้ ลุ้นตลอดเวลา เหนื่อยโว้ยยย!!!!,neg
ดีใจมากกกกกกก ภูมิใจในตัวเองอ่ะ ❤️ ขอบคุณที่สู้มานะ ขอบคุณทุกกำลังใจทุกความช่วยเหลือ น้ำตาไหลเลย ,pos
ดีใจด้วยกับคนที่ติดแล้ว รักทุกคนมากๆ พยายามกันมามาก ผ่านอะไรกันมาเข้าใจความรู้สึกทุกคน รู้สึกถึงความเป็นเพื่อนที่ต้อสู้กันมา รอเราหน่อยนะ รอบ4มันจะเป็นของเรา ขอให้ #dek61 ติดคณะที่ชอบ มหาลัยที่หวังไว้นะ #TCASรอบ4 🙏🏻 .เราจะไม่โดนเทรอบ4,pos
ดีใจจมากกก ฮรืออ ได้ใช้แท็กนี้สักที 😭😭😭,pos
ดีใจกับน้องๆทุกคนที่ติดวิศวะ จุฬาฯ ด้วยค่ะ,pos
ดีใจกับคนที่ติดรอบ 3/2ด้วยนะคะ ใครที่รอแอด หรือติดแต่ไม่ถูกใจ อดใจรอกันอีกนิดนะคะ,pos
จากเพจอ.ขลุ่ย ดีใจที่เห็นเพลงนี้ให้กำลังใจคนได้จริงๆ สู้ๆนะน้อง มันอาจจะเหนื่อยจนท้อบ้าง แต่สักวันมันจะเป็นวันของเรา พี่เป็นกำลังใจให้ /กอดๆ,pos
จริงๆนะ คือไม่มีใครเข้าใจ #dek61 เท่าพวกเรากันเองแล้วอะ อยากนัดทุกคนไปยื่นกอดคอร้องไห้55555555 แม่งหนักจริง ว่าจะไม่เครียดแต่แม่งก็อดไม่ได้,neg
จนตอนนี้หนูยังพยายามเข้าเว็บอยู่ ล่มเก่งอีดอก,neg
คือแบบความรู้สึกแม่งโครตแย่อ่า ต้องคอยตอบคำถามคนนั้นคนนี้โน่นนั่นนี่ โอ้ยยยยยย ละที่สำคัญละ เครียดจนประสาทจะแดกกกกไมเกรน!!! คือหมดตังเยอะมากอ่ากับคำว่าสมัครนั่นนี่ บางที่นะแม่งบอกรอบพอตๆไม่ดูพอตดูเกรด!!! เกรดน้อยก้อแพ้ไป คือแบบแย่มากอ่า ห่วยมากเลยยย บางคนก็รอจนรากจะออกก้น คือแบบคิดมากไง กูจะมีที่เรียนป่าววะ กูอยากเรียนอันนี่ชอบอันนี้แต่ไม่ได้หวะ งั้นงี้ สารพัดปัญหา จนตอนนี้กูก็ยังไม่มีที่เรียน ไม่มีโอกาสแก้ตัว พลาดคือพลาด กูยากที่จะอธิบาย #เหนื่อยสัส,neg
คือเมื่อคืนฝันดีมาก ฝันว่าได้ใส่ชุดนิสิต ละมีอวดคนอื่นอ่ะ รู้เลยว่าตอนนี้ตัวเองเครียดและหวังไว้สูงมาก,neg
คือดีใจหนักมาก แบบไม่ติดก็ไม่รู้จะต่อไหนแล้วอะ เครียดกันทั้งบ้าน พอสอบติดเท่านั้นแหล่ะ แฮปปี้ยิ้มแก้มแตกกันทั้งครอบครัวไปเลยจ้า,pos
คะแนนน้อย ไม่ถึงเกณฑ์แต่ก็หน้าด้านยื่นอะเอ้ออ 😂,neg
ความห่วยแตกของระบบในปีนี้ไม่ใช่แค่ระบบรวน เว็บล่ม เด็กกั๊กที่กันเยอะ แต่การที่ระบบห่วยแบบนี้จะส่งผลให้เด็กในปีนี้หลายพันคนยอมจะทิ้งความฝันตัวเองเพื่อแลกกับความสบายใจว่ามีที่เรียน และมันจะส่งผลเป็นโดมิโน่ไปถึงรุ่นต่อๆไปอีก พิจารณาตัวเองได้แล้วนะทปอ. ,neg
คนที่ได้เรียนคณะที่สมหวังแล้ว พ่อแม่เห็นด้วย พ่อแม่สนับสนุน ดีใจด้วยนะ ตั้งใจเรียนนะ คุณโชคดีมากแล้วที่พ่อแม่เค้าเข้าใจคุณ ที่พ่อแม่สนับสนุนคุณ มันดีที่สุดแล้วล่ะ,pos
ขำไม่ออกแต่อยากขำและนอนน้ำตาร่วงอยู่,neg
ขอให้ติด เภสัช มข สาธุ~🙏🙏🙏 ดังนั้นควรอ่านหนังสือได้แล้วนะ~ เหลือเวลาไม่นานแล้วนะ สู้ๆ!!,pos
ขอบคุณมข.ที่ไม่เทเรา มีที่เรียนแล้วโว้ยยยยยยย,pos
ขอบคุณทุกฝ่ายจริงๆทั้งทปอ. ทั้งเด็ก61ผู้ปกครองเด็กทุกฝ่ายที่ยื่นเรื่องให้มีรอบ3.2 ถ้าไม่มีรอบนี้เราคงไม่ติดแง้ ดีใจมาก ❤️,pos
ขอบคุณ มข มากๆนะคะ ที่รักเรา❤❤❤มันเกินความคาดหมายมากๆ เราติด 4 อันที่ยื่นไปหมดเลย,pos
ขอบคุณ #TCAS61 ที่ทำให้คนๆนึงที่ไม่เคยรออะไรได้นานได้รู้ว่าการรอคอยที่แสนยาวนานมันทรมานมากขนาดไหน ขอบคุณจริงๆ😻🙏🙏 ,pos
การเลือกมหาวิทยาลัยว่ายากแล้ว คณะที่จะเลือกให้มันพอดีกับคะแนนเรานั้นยากยิ่งกว่า 😭😂 ,neg
กรี้ด ดีใจโว้ยยยย ,pos
dek61 ที่ต้องสัมภาษณ์ในวันพรุ่งนี้และมะรืนนี้ สิ่งที่อยากจะฝากคือพยายามตัดความกังวล ตัดความคิดว่าเราจะไม่ติด เตรียมตัวให้พร้อม เอกสารให้ครบ ยิ้มเข้าไว้ มือไม้อย่าแข็ง ห้ามเหวี่ยงใส่อาจารย์ สบตาตอบด้วยความจริงใจ โอกาสอยู่ในมือน้องๆแล้ว ทำให้ดีที่สุดครับ พี่เป็นกำลังใจให้ 💪🏼,pos
Dek61รุ่นนี้เสียเปรียบเห็นๆอ่ะ กว่าจะติดก็ครึ่งค่อนปี จะซิ่วก็ไม่ได้อีก เพราะ เตรียมตัวไม่ทัน มีใครใหัมากกว่านี้อีกมั้ยคะ,neg
แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มันแม่งเป็นสุดยอดของเราเว้ย อย่ามาดูถูกความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย,neg
สิ่งที่อ.ควรทำคือสอนให้นร.รู้วิธีคิดที่จะทำให้ดีมากกว่านี้ ไม่ใช่มาแขวะว่าคิดได้แค่นี้หรอ,neg
"""มหาวิทยาลัย"" และ ""ใบปริญญา"" ยังจำเป็นไหม? เมื่อโลกยุคใหม่มีทั้ง AI ที่ทำงานได้แม่นยำ รวมไปถึงองค์กรชั้นนำของโลกบางแห่งก็เริ่มเปิดรับคนไม่มีปริญญาเข้าทำงานแล้ว",neg
หลังจากพูดเรื่อง เด็กพืเศษ ในสภามีพ่อเเม่มาคอมเม้นสะท้อนปัญหาเดียวกันมากมายครับ ท่านหนึ่งจากจังหวัดกาญจนบุรี บอกว่าทั้งจังหวัดมีโรงเรียนที่รองรับเด็กพิเศษได้เพียง 2 แห่ง เเละทั้ง 2 แห่งอยู่ในอ.เมือง สังคมเราจะเท่าเทียมกันได้อย่างไร ถ้ายังทิ้งคนไว้ข้างหลัง,neg
สอบเกือบผ่าน ตกไปแค่ 0.5 คะแนนเอง ถถถถ,neg
ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ,pos
ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้ห่วยแตก มาก มว๊ากแก,neg
กชพรเป็นนักเรียนที่ดี ไม่เคยมาโรงเรียนเลทตั้งแต่เปิดเทอมมา,pos
สารสื่อประสาทแอซิติลโคลีน ช่วยกระตุ้นให้ความจำดีขึ้นได้ค่ะ,pos
สารสื่อประสาทเอนดอร์ฟินจากสมอง ลดความรู้สึกเจ็บปวดลงได้,pos
กระแสประสาทจึงส่งไปสมองน้อยลง ทำให้สงบไม่วิตกกังวล,pos
ครูลืมสั่งงานน่ะนักเรียน,neg
คิดตัวอย่างไม่ออกแล้ว ไม่นะม่ายยยย,neg
เทอมนี้เรียนได้เกรดสี่ทุกวิชา,pos
กระจุกกระจิก,neg
กระดาน,neg
แก่,neg
เกรียน,neg
เกเร,neg
เกิน,neg
ขวางโลก,neg
ขัดสมาธิ,neg
ขุ่น,neg
คมคาย,neg
กระเซอะกระเซิง,neg
เคร่งขรึม,neg
เครียด,neg
งอ,neg
งอแง,neg
โง่,neg
จังไร,neg
จัญไร,neg
เจือ,neg
เจือจาง,neg
ต่ำ,neg
ต่ำต้อย,neg
ฉูดฉาด,neg
ชั่ว,neg
ชู้สาว,neg
ซวย,neg
ซ้ำ,neg
ซ้ำซ้อน,neg
ซ้ำร้าย,neg
เซ่อ,neg
ดุดัน,neg
ดุร้าย,neg
ตกม้าตาย,neg
ทราม,neg
ทะลุ,neg
ทุเรศ,neg
เทียม,neg
นักเลง,neg
ลบ,neg
เบื่อ,neg
ปรัมปรา,neg
เท็จ,neg
ตอแหล,neg
ตาขาว,neg
ฉุนเฉียว,neg
เฉโก,neg
เฉื่อย,neg
ชะงัด,neg
ชู้สาว,neg
ซวย,neg
ซ้ำซ้อน,neg
ซ้ำร้าย,neg
ซุกซน,neg
เซ,neg
เซ่อ,neg
เซา,neg
ดื้อ,neg
ดุร้าย,neg
เดียรดาษ,neg
ตกม้าตาย,neg
ตรงข้าม,neg
ตระหนี่ถี่เหนียว,neg
ตอแหล,neg
ตาขาว,neg
ต่ำ,neg
ต่ำต้อย,neg
ติดเชื้อ,neg
เตี้ย,neg
ถวัล,neg
ทรหด,neg
ทราม,neg
ทะลุ,neg
ทื่อ,neg
ทุเรศ,neg
เท็จ,neg
เทียม,neg
น้อย,neg
นักเลง,neg
น่าย,neg
บิ่น,neg
บุ๋ม,neg
เบี่ยง,neg
เบื่อ,neg
ป้อ,neg
ปากเสีย,neg
ปากหมา,neg
ปาราชิก,neg
เป็นลม,neg
เปล่าเปลี่ยว,neg
เปื่อย,neg
แปร่ง,neg
ผรุส,neg
ผิด,neg
ผิดหวัง,neg
เผ็ดร้อน,neg
เผล,neg
แผลง,neg
พด,neg
พล่าน,neg
พิการ,neg
พี,neg
ฟก,neg
เพี้ยน,neg
แพง,neg
ฟก,neg
ฟาง,neg
แฟบ,neg
มัวหมอง,neg
โมเม,neg
ยับ,neg
ยืด,neg
ยุ่งเหยิง,neg
โย้,neg
รกเรื้อ,neg
ร่อแร่,neg
รัดกุม,neg
ร้าย,neg
ร้ายกาจ,neg
ริบ,neg
รุนแรง,neg
รุกรุย,neg
รุ่ยร่าย,neg
ล้ม,neg
ลัก,neg
ล้าสมัย,neg
ลำบาก,neg
ล้ำ,neg
เลว,neg
โลเล,neg
ว่ายาก,neg
วิปโยค,neg
วิประโยค,neg
วิเวก,neg
สลัว,neg
สวก,neg
สวะ,neg
สะเหล่อ,neg
สั้น,neg
สันหลังยาว,neg
สับปลับ,neg
สัพเพเหระ,neg
สิ้นสติ,neg
สูญ,neg
เสีย,neg
เสื่อมโทรม,neg
เสื่อมเสีย,neg
โสโครก,neg
